_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,geometry
360,1428,BE-01726,750,Lawrence Ave W,Lawrence Ave W,North,Bolingbroke Rd,West,12432,08,None,Standard,Existing,B1512432,,"{'type': 'MultiPoint', 'coordinates': [[-79.4498953602148, 43.7150203975751]]}"
361,1429,BE-01752,1031,St Clair Ave W,St Clair Ave W,South,Glenholme Ave,East,12475,09,Regal Heights Village,Standard,Existing,B1712475,,"{'type': 'MultiPoint', 'coordinates': [[-79.4383347365547, 43.6788725600149]]}"
362,1434,BE-00441,3224,Danforth Ave,Danforth Ave,North,Wanstead Ave,West,03042,20,Crossroads of the Danforth,Standard,Existing,B3503042,,"{'type': 'MultiPoint', 'coordinates': [[-79.2825362442391, 43.6926015235128]]}"
363,1435,BE-00443,3555,Danforth Ave,Danforth Ave,South,Warden Ave,West,01312,20,Crossroads of the Danforth,Standard,Existing,B3501312,,"{'type': 'MultiPoint', 'coordinates': [[-79.2749672098528, 43.69403212041]]}"
364,1436,BE-00447,1938,Eglinton Ave W,Eglinton Ave W,North,Fairbank Ave,West,07112,08,Fairbank Village,Standard,Existing,B1507112,,"{'type': 'MultiPoint', 'coordinates': [[-79.4530595584116, 43.6951534432064]]}"
365,1437,BE-00451,405,Guildwood Pkwy,Guildwood Pkwy,South,Schubert Dr,West,01575,24,None,Standard,Existing,B4301575,,"{'type': 'MultiPoint', 'coordinates': [[-79.1863759379843, 43.7502660837323]]}"
366,1438,BE-00453,354-356,Lansdowne Ave,Lansdowne Ave,West,Whytock Ave,North,06861,09,None,Standard,Existing,B1906861,,"{'type': 'MultiPoint', 'coordinates': [[-79.4412486336886, 43.6540049524868]]}"
367,1441,BE-00465,3339,Warden Ave,Warden Ave,East,Bamburgh Crcl,South,01482,22,None,Standard,Existing,B3901482,,"{'type': 'MultiPoint', 'coordinates': [[-79.3231429710935, 43.8114949540444]]}"
368,1442,BE-00469,2550,Pharmacy Ave,Pharmacy Ave,West,Corinthian Blvd,North,01499,22,None,Standard,Existing,B4001499,,"{'type': 'MultiPoint', 'coordinates': [[-79.32517334647, 43.792925771163]]}"
369,1444,BE-00473,500,Sandhurst Crcl,Mccowan Rd,East,Sandhurst Crcl,South,01522,23,None,Standard,Existing,B4101522,,"{'type': 'MultiPoint', 'coordinates': [[-79.2650296857812, 43.8049130356939]]}"
370,1445,BE-00478,8270,Sheppard Ave E,Sheppard Ave E,North,Water Tower Gt,East,01555,25,None,Standard,Existing,B4201555,,"{'type': 'MultiPoint', 'coordinates': [[-79.1946642749801, 43.8032974662372]]}"
371,1583,BE-00554,2717-2745,Weston Rd,Weston Rd,East,Walsh Ave,South,04204,07,Emery Village,Standard,Existing,B0704204,,"{'type': 'MultiPoint', 'coordinates': [[-79.5369780180171, 43.7163554777084]]}"
372,1584,BE-00557,2469,Finch Ave W,Finch Ave W,South,Rumike Rd,West,04476,07,Emery Village,Standard,Temporarily Removed,B0704476,,"{'type': 'MultiPoint', 'coordinates': [[-79.552677177676, 43.7497296999047]]}"
373,1585,BE-00559,1906,Queen St E,Queen St E,North,Herbert Ave,East,06858,19,The Beach,Mini,Existing,B3206858,,"{'type': 'MultiPoint', 'coordinates': [[-79.3042990096276, 43.6691519793254]]}"
374,1586,BE-00565,2793,Bathurst St,Glencairn Ave,North,Bathurst St,East,06131,08,None,Mini,Existing,B1606131,,"{'type': 'MultiPoint', 'coordinates': [[-79.4278849308026, 43.7124781058282]]}"
375,1587,BE-00569,4650,Jane St,Jane St,West,Shoreham Dr,North,01790,07,None,Standard,Existing,B0801790,,"{'type': 'MultiPoint', 'coordinates': [[-79.5205711978527, 43.7690301474684]]}"
376,1588,BE-00572,4050,Yonge St,Wilson Ave,North,Yonge St,West,01861,08,None,Standard,Existing,B1601861,,"{'type': 'MultiPoint', 'coordinates': [[-79.4073215000129, 43.7440659799108]]}"
377,1589,BE-00577,3326,Keele St,Keele St,West,Sheppard Ave W,South,01797,06,None,Standard,Existing,B0901797,,"{'type': 'MultiPoint', 'coordinates': [[-79.486511027652, 43.7444686478846]]}"
378,1590,BE-00578,2712,Keele St,Keele St,West,Wilson Ave,South,01796,06,Wilson Village,Standard,Existing,B0901796,,"{'type': 'MultiPoint', 'coordinates': [[-79.4821847581528, 43.726150054384]]}"
379,1593,BE-00211,119,Varna Dr,Varna Dr,West,Leila Lane,North,01029,08,None,Standard,Temporarily Removed,B1501029,,"{'type': 'MultiPoint', 'coordinates': [[-79.4455612845236, 43.7235373626992]]}"
380,1594,BE-00213,1555,Avenue Rd,Avenue Rd,East,Bedford Park Ave,North,00026,08,None,Standard,Existing,B1600026,,"{'type': 'MultiPoint', 'coordinates': [[-79.4164204272185, 43.724609261856]]}"
381,1595,BE-00219,1708,Avenue Rd,Avenue Rd,West,Fairlawn Ave,North,01845,08,None,Standard,Existing,B1601845,,"{'type': 'MultiPoint', 'coordinates': [[-79.4180672669078, 43.7280342471534]]}"
382,1596,BE-00221,1507,Avenue Rd,Avenue Rd,East,Lawrence Ave W,South,01839,08,None,Standard,Existing,B1601839,,"{'type': 'MultiPoint', 'coordinates': [[-79.4153173889392, 43.7220434190465]]}"
383,1597,BE-00223,2135,Avenue Rd,Avenue Rd,East,Wilson Ave,South,01850,08,None,Standard,Existing,B1601850,,"{'type': 'MultiPoint', 'coordinates': [[-79.4212467229267, 43.7393881841426]]}"
384,1598,BE-00226,3001,Bathurst St,Bathurst St,East,Caribou Rd,South,03433,08,None,Standard,Existing,B1603433,,"{'type': 'MultiPoint', 'coordinates': [[-79.4292251376257, 43.7174358017675]]}"
385,1599,BE-00232,191,Wilson Ave,Wilson Ave,South,Avenue Rd,West,01858,08,None,Standard,Temporarily Removed,B1601858,,"{'type': 'MultiPoint', 'coordinates': [[-79.4220781390626, 43.7396732105207]]}"
386,1600,BE-00238,750,Bloor St W,Christie St,West,Bloor St W,North,00382,11,None,Standard,Existing,B1900382,,"{'type': 'MultiPoint', 'coordinates': [[-79.4188666040273, 43.6645495680432]]}"
387,1601,BE-00240,427,Bloor St W,Bloor St W,South,Robert St,West,04809,11,Bloor Annex,Standard,Existing,B2004809,,"{'type': 'MultiPoint', 'coordinates': [[-79.4054565352348, 43.6662707248765]]}"
388,1602,BE-00246,245,Eglinton Ave E,Eglinton Ave E,South,Mount Pleasant Rd,East,00498,15,Mount Pleasant Village,Standard,Temporarily Removed,B2200498,,"{'type': 'MultiPoint', 'coordinates': [[-79.3896118429781, 43.7084334913449]]}"
389,1603,BE-00248,1,Eglinton Ave E,Eglinton Ave E,South,Yonge St,East,00499,12,None,Standard,Temporarily Removed,B2200499,,"{'type': 'MultiPoint', 'coordinates': [[-79.3976577476595, 43.706796725323]]}"
390,1604,BE-00250,40,St Clair Ave E,St Clair Ave E,North,Alvin Ave,East,00018,12,Yonge & St. Clair,Standard,Existing,B2200018,,"{'type': 'MultiPoint', 'coordinates': [[-79.3922800759671, 43.6885818858256]]}"
391,1605,BE-00254,1,Lord Seaton Rd,Yonge St,East,Lord Seaton Rd,South,02130,15,None,Standard,Existing,B2502130,,"{'type': 'MultiPoint', 'coordinates': [[-79.4078947133732, 43.7523593354602]]}"
392,1606,BE-00257,4719,Bathurst St,Bathurst St,East,Yorkview Dr,South,03333,18,None,Standard,Existing,B2303333,,"{'type': 'MultiPoint', 'coordinates': [[-79.442369296533, 43.7721365550884]]}"
393,1607,BE-00259,318,Holmes Ave,Bayview Ave,West,Holmes Ave,North,03540,18,None,Standard,Existing,B2303540,,"{'type': 'MultiPoint', 'coordinates': [[-79.3918724938667, 43.7831067720445]]}"
394,1608,BE-00262,1752,Bayview Ave,Bayview Ave,East,Eglinton Ave E,South,01871,15,None,Standard,Temporarily Removed,B2601871,,"{'type': 'MultiPoint', 'coordinates': [[-79.376934712012, 43.7109101970091]]}"
395,1609,BE-00264,3180,Bayview Ave,Finch Ave E,South,Bayview Ave,West,01879,18,None,Standard,Existing,B2301879,,"{'type': 'MultiPoint', 'coordinates': [[-79.3927177862103, 43.7846951373541]]}"
396,1610,BE-00266,205,Hilda Ave,Hilda Ave,East,Steeles Ave W,South,01881,18,None,Standard,Existing,B2301881,,"{'type': 'MultiPoint', 'coordinates': [[-79.4289623071606, 43.7954977043375]]}"
397,1611,BE-00270,549,Steeles Ave W,Steeles Ave W,South,Cactus Ave,West,01889,18,None,Standard,Existing,B2301889,,"{'type': 'MultiPoint', 'coordinates': [[-79.4368537563624, 43.7942164170013]]}"
398,1613,BE-00276,4736B,Yonge St,Yonge St,West,Bogert Ave,North,04780,18,Willowdale,Standard,Existing,B2304780,,"{'type': 'MultiPoint', 'coordinates': [[-79.4108783818519, 43.7605360083773]]}"
399,1614,BE-00277,1,Argonne Cres,Bayview Ave,East,Argonne Cres,South,03529,17,None,Standard,Existing,B2403529,,"{'type': 'MultiPoint', 'coordinates': [[-79.3937801006564, 43.7939062590541]]}"
400,1615,BE-00281,3343,Bayview Ave,Bayview Ave,East,Cummer Ave,South,01904,17,None,Standard,Existing,B2401904,,"{'type': 'MultiPoint', 'coordinates': [[-79.3934268566139, 43.7921260277513]]}"
401,1616,BE-00283,2927,Bayview Ave,Bayview Ave,East,Foxwarren Dr,South,01897,17,None,Standard,Existing,B2401897,,"{'type': 'MultiPoint', 'coordinates': [[-79.3887686149659, 43.7704638145217]]}"
402,1617,BE-00285,3253-3337,Bayview Ave,Bayview Ave,East,Risebrough Ave,South,01906,17,None,Standard,Existing,B2401906,,"{'type': 'MultiPoint', 'coordinates': [[-79.3930711212213, 43.7903610133977]]}"
403,1618,BE-00287,3600,Bayview Ave,Bayview Ave,West,Steeles Ave E,South,01900,18,None,Standard,Existing,B2401900,,"{'type': 'MultiPoint', 'coordinates': [[-79.3962111822891, 43.8027804081429]]}"
404,1621,BE-00301,2,Mcnicoll Ave,Mcnicoll Ave,North,Leslie St,East,01919,17,None,Standard,Existing,B2401919,,"{'type': 'MultiPoint', 'coordinates': [[-79.3703544860819, 43.8014904431246]]}"
405,1622,BE-00302,550,Sheppard Ave E,Bayview Ave,East,Sheppard Ave E,North,01921,17,None,Standard,Existing,B2401921,,"{'type': 'MultiPoint', 'coordinates': [[-79.387657160346, 43.7669502895488]]}"
406,1623,BE-00310,3125,Steeles Ave E,Steeles Ave E,South,Victoria Park Ave,West,01927,17,None,Standard,Temporarily Removed,B2401927,,"{'type': 'MultiPoint', 'coordinates': [[-79.3443086340516, 43.8147636237195]]}"
407,1624,BE-00312,3790,Victoria Park Ave,Victoria Park Ave,West,Gordon Baker Rd,North,01935,17,None,Standard,Existing,B2401935,,"{'type': 'MultiPoint', 'coordinates': [[-79.3394320927556, 43.8108455012282]]}"
408,1625,BE-00314,3600,Victoria Park Ave,Victoria Park Ave,West,Tempo Ave,North,01933,17,None,Standard,Existing,B2401933,,"{'type': 'MultiPoint', 'coordinates': [[-79.3376218997071, 43.8066136194333]]}"
409,1626,BE-00319,96,Fifeshire Rd,Bayview Ave,West,Fifeshire Rd,North,02116,15,None,Standard,Existing,B2502116,,"{'type': 'MultiPoint', 'coordinates': [[-79.3868591799096, 43.7607525942649]]}"
410,1628,BE-00327,93,York Rd,Bayview Ave,West,York Rd,South,03555,15,None,Standard,Existing,B2503555,,"{'type': 'MultiPoint', 'coordinates': [[-79.3838713524641, 43.7458867388987]]}"
411,1629,BE-00329,1110,Don Mills Rd,Don Mills Rd,West,Lawrence Ave E,North,02118,16,None,Standard,Existing,B2502118,,"{'type': 'MultiPoint', 'coordinates': [[-79.3436778442713, 43.7374181348824]]}"
412,1630,BE-00333,1983,Leslie St,Leslie St,East,Bannatyne Dr,North,02123,16,None,Standard,Existing,B2502123,,"{'type': 'MultiPoint', 'coordinates': [[-79.3611945870015, 43.7590089426353]]}"
413,1631,BE-00334,1859,Leslie St,Leslie St,East,Coldwater Rd,South,02121,16,None,Standard,Existing,B2502121,,"{'type': 'MultiPoint', 'coordinates': [[-79.3602033880315, 43.754674389849]]}"
414,1632,BE-00336,1889,Leslie St,Leslie St,East,Kirkwood Rd,North,02122,16,None,Standard,Existing,B2502122,,"{'type': 'MultiPoint', 'coordinates': [[-79.3607504374508, 43.75709636963]]}"
415,1635,BE-00344,57,Mossgrove Trl,York Mills Rd,North,Banbury Rd,East,02137,15,None,Standard,Existing,B2502137,,"{'type': 'MultiPoint', 'coordinates': [[-79.3651978123934, 43.7526967326053]]}"
416,1636,BE-00350,4025,Yonge St,York Mills Rd,North,Yonge St,East,02139,15,None,Standard,Existing,B2502139,,"{'type': 'MultiPoint', 'coordinates': [[-79.4062258273899, 43.7443904170656]]}"
417,1638,BE-00354,1847,Bayview Ave,Bayview Ave,East,Broadway Ave,North,02166,15,None,Standard,Existing,B2602166,,"{'type': 'MultiPoint', 'coordinates': [[-79.3775026908083, 43.7143618639264]]}"
418,1639,BE-00356,1645,Bayview Ave,Bayview Ave,East,Fleming Cres,North,01870,15,Bayview Leaside,Mini,Existing,B2601870,,"{'type': 'MultiPoint', 'coordinates': [[-79.3756003286204, 43.7071565471698]]}"
419,1640,BE-00363,1439,Kingston Rd,Kingston Rd,South,Warden Ave,West,04084,20,None,Standard,Existing,B3604084,,"{'type': 'MultiPoint', 'coordinates': [[-79.271063085613, 43.6875399886355]]}"
420,1641,BE-00365,825,Eglinton Ave E,Eglinton Ave E,South,Laird Dr,East,02171,15,None,Standard,Temporarily Removed,B2602171,,"{'type': 'MultiPoint', 'coordinates': [[-79.3639208128918, 43.7136322426892]]}"
421,1642,BE-00367,796,Eglinton Ave E,Eglinton Ave E,North,Sutherland Dr,East,02169,15,None,Standard,Temporarily Removed,B2602169,,"{'type': 'MultiPoint', 'coordinates': [[-79.3668675213007, 43.7132435458382]]}"
422,1643,BE-00371,2495,Kingston Rd,Kingston Rd,South,Midland Ave,West,07062,20,None,Mini,Existing,B3607062,,"{'type': 'MultiPoint', 'coordinates': [[-79.2482258626674, 43.7107811520669]]}"
423,1645,BE-00375,119,Vanderhoof Ave,Vanderhoof Ave,North,Brentcliffe Rd,East,01200,15,None,Standard,Existing,B2601200,,"{'type': 'MultiPoint', 'coordinates': [[-79.3580441628039, 43.7131515751818]]}"
424,1646,BE-00378,345,Bloor St E,Bloor St E,South,Mount Pleasant Rd,East,00539,13,None,Standard,Existing,B2700539,,"{'type': 'MultiPoint', 'coordinates': [[-79.3784495352697, 43.6719284763859]]}"
425,1647,BE-00382,1116,King St W,King St W,North,Fraser Ave,West,06583,10,None,Standard,Existing,B1406583,,"{'type': 'MultiPoint', 'coordinates': [[-79.424943296241, 43.6395243264889]]}"
426,1648,BE-00387,555,Mortimer Ave,Mortimer Ave,South,Coxwell Ave,West,03023,14,None,Standard,Existing,B3103023,,"{'type': 'MultiPoint', 'coordinates': [[-79.3268641061089, 43.6904041717551]]}"
427,1649,BE-00389,931,Danforth Ave,Danforth Ave,South,Euston Ave,West,00601,14,Danforth Mosaic,Standard,Existing,B3000601,,"{'type': 'MultiPoint', 'coordinates': [[-79.3382004024379, 43.6801472042436]]}"
428,1650,BE-00392,100,Felstead Ave,Greenwood Ave,East,Felstead Ave,South,T3675,14,None,Standard,Existing,B3000595,,"{'type': 'MultiPoint', 'coordinates': [[-79.3307294480567, 43.6778107248205]]}"
429,1652,BE-00399,2960A,Danforth Ave,Danforth Ave,North,Sibley Ave,East,02146,19,Danforth Village,Standard,Existing,B3102146,,"{'type': 'MultiPoint', 'coordinates': [[-79.2923685412391, 43.6903926789791]]}"
430,1653,BE-00401,50,St Phillips Rd,St Phillips Rd,West,Riverview Hts,North,06220,01,None,Standard,Existing,B0206220,,"{'type': 'MultiPoint', 'coordinates': [[-79.5324628394582, 43.7025674829612]]}"
431,1654,BE-00404,1309,Lawrence Ave E,Lawrence Ave E,South,Railside Rd,East,03941,16,None,Standard,Existing,B3403941,,"{'type': 'MultiPoint', 'coordinates': [[-79.3239449550188, 43.7407089766234]]}"
432,1655,BE-00407,2116,Queen St E,Queen St E,North,Wineva Ave,East,03277,19,The Beach,Standard,Existing,B3203277,,"{'type': 'MultiPoint', 'coordinates': [[-79.2951516905295, 43.6711598206157]]}"
433,1656,BE-00411,4000,Jane St,Finch Ave W,North,Jane St,West,06126,07,None,Standard,Temporarily Removed,B0806126,,"{'type': 'MultiPoint', 'coordinates': [[-79.5183695625867, 43.7573546920784]]}"
434,1657,BE-00415,1240,Sheppard Ave E,Leslie St,West,Sheppard Ave E,North,04306,17,None,Standard,Existing,B3304306,,"{'type': 'MultiPoint', 'coordinates': [[-79.3643579265157, 43.7720708666044]]}"
435,1658,BE-00417,515,Van Horne Ave,Van Horne Ave,South,Bickerton Cres,West,01248,17,None,Standard,Existing,B3301248,,"{'type': 'MultiPoint', 'coordinates': [[-79.3343963561784, 43.7881179664157]]}"
436,1659,BE-00424,1301/1325,Finch Ave W,Finch Ave W,South,Tangiers Rd,West,06127,18,DuKe Heights,Mini,Temporarily Removed,B0806127,,"{'type': 'MultiPoint', 'coordinates': [[-79.4884983506325, 43.7639128012351]]}"
437,1660,BE-00426,1800X,Don Mills Rd,Duncan Mill Rd,South,Don Mills Rd,West,03839,16,None,Standard,Existing,B3403839,,"{'type': 'MultiPoint', 'coordinates': [[-79.3477119833855, 43.7615812080114]]}"
438,1661,BE-00430,72,Howard Park Ave,Howard Park Ave,North,Roncesvalles Ave,West,06863,04,Roncesvalles Village,Standard,Existing,B1406863,,"{'type': 'MultiPoint', 'coordinates': [[-79.4515784990826, 43.6514836987959]]}"
439,1662,BE-00434,60,Underhill Dr,Underhill Dr,West,Doonaree Dr,South,01292,16,None,Standard,Existing,B3401292,,"{'type': 'MultiPoint', 'coordinates': [[-79.3259830973976, 43.745417535826]]}"
440,1663,BE-00436,3333,Danforth Ave,Danforth Ave,South,August Ave,East,03044,20,Crossroads of the Danforth,Standard,Existing,B3503044,,"{'type': 'MultiPoint', 'coordinates': [[-79.2809424087787, 43.6927849959781]]}"
441,1665,BE-00229,214,Lawrence Ave W,Lawrence Ave W,South,Chatsworth Dr,West,03912,08,None,Standard,Existing,B1603912,,"{'type': 'MultiPoint', 'coordinates': [[-79.4116101428268, 43.7230131610866]]}"
442,1666,BE-00231,84,Burncrest Dr,Wilson Ave,South,Allard Ave,West,04144,08,None,Standard,Existing,B1604144,,"{'type': 'MultiPoint', 'coordinates': [[-79.4296946753409, 43.7376914985915]]}"
443,1667,BE-00549,892,The Queensway,The Queensway,North,Lady Bank Rd,East,04405,03,Shop The Queensway,Standard,Existing,B0504405,,"{'type': 'MultiPoint', 'coordinates': [[-79.5115406144537, 43.6244590110364]]}"
444,1668,BE-00553,131,Brown's Line,Brown's Line,East,Horner Ave,South,05943,03,None,Mini,Existing,B0605943,,"{'type': 'MultiPoint', 'coordinates': [[-79.5449410705856, 43.6014378007503]]}"
445,1670,BE-00014,900,Queen's Plate Dr,Queen's Plate Dr,West,Rexdale Blvd,North,04483,01,None,Standard,Temporarily Removed,B0204483,,"{'type': 'MultiPoint', 'coordinates': [[-79.6033739766119, 43.7196025484925]]}"
446,1671,BE-00018,1,Hullrick Dr,Humberwood Blvd,East,Hullrick Dr,South,04481,01,None,Standard,Temporarily Removed,B0204481,,"{'type': 'MultiPoint', 'coordinates': [[-79.6128052366859, 43.7217252698287]]}"
447,1672,BE-00020,2328,Islington Ave,Islington Ave,West,Bergamot Ave,North,01743,01,None,Standard,Existing,B0201743,,"{'type': 'MultiPoint', 'coordinates': [[-79.5562733698015, 43.7171646329867]]}"
448,1673,BE-00022,1000,The Queensway,Islington Ave,West,The Queensway,North,04157,03,Shop The Queensway,Standard,Existing,B0504157,,"{'type': 'MultiPoint', 'coordinates': [[-79.5150464401883, 43.6238708297708]]}"
449,1674,BE-00024,2182,Kipling Ave,Kipling Ave,West,Snaresbrook Dr,North,00125,01,None,Standard,Existing,B0200125,,"{'type': 'MultiPoint', 'coordinates': [[-79.5717976440352, 43.7219205505011]]}"
450,1675,BE-00032,4201,Bloor St W,Bloor St W,South,The West Mall,West,01749,02,None,Standard,Existing,B0301749,,"{'type': 'MultiPoint', 'coordinates': [[-79.5625545705483, 43.6354407414496]]}"
451,1676,BE-00034,577,Burnhamthorpe Rd,Burnhamthorpe Rd,North,Mulgrove Dr,East,03289,02,None,Standard,Existing,B0303289,,"{'type': 'MultiPoint', 'coordinates': [[-79.5687156446179, 43.6443072606102]]}"
452,1677,BE-00038,25,Centennial Park Gt,Centennial Park Gt,South,Renforth Dr,West,00169,02,None,Standard,Existing,B0300169,,"{'type': 'MultiPoint', 'coordinates': [[-79.5816709116139, 43.6540387447106]]}"
453,1678,BE-00292,215,Mcnicoll Ave,Don Mills Rd,East,Mcnicoll Ave,South,01910,17,None,Standard,Existing,B2401910,,"{'type': 'MultiPoint', 'coordinates': [[-79.3540338753488, 43.7993230516143]]}"
454,1679,BE-00294,54,Harnworth Dr,Don Mills Rd,East,Memory Gardens Lane,South,01911,17,None,Standard,Existing,B2401911,,"{'type': 'MultiPoint', 'coordinates': [[-79.3548802790779, 43.8053331330352]]}"
455,1680,BE-00298,1100,Finch Ave E,Finch Ave E,North,Don Mills Rd,West,01918,17,None,Standard,Existing,B2401918,,"{'type': 'MultiPoint', 'coordinates': [[-79.3553064854415, 43.7927342316386]]}"
456,1684,BE-00317,2075,Bayview Ave,Bayview Ave,East,Blythwood Rd,South,02158,15,None,Standard,Existing,B2502158,,"{'type': 'MultiPoint', 'coordinates': [[-79.3786711800538, 43.720708553349]]}"
457,1685,BE-00320,1866,Bayview Ave,Bayview Ave,West,Glenvale Blvd,South,02157,15,None,Standard,Existing,B2502157,,"{'type': 'MultiPoint', 'coordinates': [[-79.3780949728445, 43.7157929590581]]}"
458,1686,BE-00324,2539,Bayview Ave,Bayview Ave,East,York Mills Rd,South,02115,15,None,Standard,Existing,B2502115,,"{'type': 'MultiPoint', 'coordinates': [[-79.3838919276564, 43.7477424218414]]}"
459,1687,BE-00326,2536,Bayview Ave,Bayview Ave,West,York Mills Rd,South,02160,15,None,Standard,Existing,B2502160,,"{'type': 'MultiPoint', 'coordinates': [[-79.3841716260461, 43.747413243453]]}"
460,1688,BE-00330,88,Overton Cres,Don Mills Rd,West,The Donway W,North,02119,16,None,Standard,Existing,B2502119,,"{'type': 'MultiPoint', 'coordinates': [[-79.3446736501217, 43.7411054917448]]}"
461,1689,BE-00335,1100,Eglinton Ave E,Leslie St,East,Eglinton Ave E,North,02124,16,None,Standard,Existing,B2502124,,"{'type': 'MultiPoint', 'coordinates': [[-79.3502289465062, 43.7181638263893]]}"
462,1690,BE-00337,251,Lord Seaton Rd,Lord Seaton Rd,North,Upper Canada Dr,East,01174,15,None,Standard,Existing,B2501174,,"{'type': 'MultiPoint', 'coordinates': [[-79.4043994823229, 43.7534002084434]]}"
463,1691,BE-00339,01-Mar,Tournament Dr,Tournament Dr,North,The Links Rd,East,01176,15,None,Standard,Existing,B2501176,,"{'type': 'MultiPoint', 'coordinates': [[-79.4015214536896, 43.7506852443691]]}"
464,1692,BE-00345,300,York Mills Rd,York Mills Rd,North,Bayview Ave,West,02131,15,None,Standard,Existing,B2502131,,"{'type': 'MultiPoint', 'coordinates': [[-79.3847664680375, 43.7480658921095]]}"
465,1693,BE-00377,1235,Bay St,Bay St,East,Cumberland St,North,00532,11,Bloor-Yorkville,Standard,Existing,B2700532,,"{'type': 'MultiPoint', 'coordinates': [[-79.3898889244506, 43.6709840188391]]}"
466,1694,BE-00381,104,Dundas St E,Dundas St E,North,Church St,West,06554,13,None,Mini,Existing,B2706554,,"{'type': 'MultiPoint', 'coordinates': [[-79.3774777068608, 43.6564919437031]]}"
467,1695,BE-00543,1640,The Queensway,The Queensway,North,The East Mall,East,04407,03,None,Standard,Existing,B0504407,,"{'type': 'MultiPoint', 'coordinates': [[-79.5460325276939, 43.6166857469453]]}"
468,1696,BE-00547,25,The West Mall,The Queensway,South,North Queen St,East,04409,03,None,Standard,Existing,B0504409,,"{'type': 'MultiPoint', 'coordinates': [[-79.5556971404839, 43.6141604832143]]}"
469,1697,BE-00169,1755,Steeles Ave W,Steeles Ave W,South,Hidden Trl,West,04192,06,None,Standard,Temporarily Removed,B1004192,,"{'type': 'MultiPoint', 'coordinates': [[-79.4634749186855, 43.7884451715054]]}"
470,1698,BE-00171,755,Steeles Ave W,Steeles Ave W,South,Village Gt,West,01815,18,None,Standard,Existing,B1001815,,"{'type': 'MultiPoint', 'coordinates': [[-79.4412885891778, 43.7932584141673]]}"
471,1699,BE-00173,175,Clifton Ave,Wilson Heights Blvd,East,Clifton Ave,South,00875,06,None,Standard,Existing,B1000875,,"{'type': 'MultiPoint', 'coordinates': [[-79.4627595285327, 43.7587275536401]]}"
472,1701,BE-00177,10,Tobermory Dr,Tobermory Dr,West,Finch Ave W,North,06186,07,None,Standard,Existing,B0806186,,"{'type': 'MultiPoint', 'coordinates': [[-79.5086441248203, 43.7600306620028]]}"
473,1702,BE-00179,3,Tetbury Cres,Laurentide Dr,North,Tetbury Cres,East,01281,16,None,Standard,Existing,B3401281,,"{'type': 'MultiPoint', 'coordinates': [[-79.3388666759724, 43.7532237705557]]}"
474,1703,BE-00183,4915,Bathurst St,Bathurst St,East,Finch Ave W,South,01873,18,None,Standard,Existing,B2301873,,"{'type': 'MultiPoint', 'coordinates': [[-79.4427353694752, 43.7735229098829]]}"
475,1704,BE-00185,1507,Lawrence Ave W,Lawrence Ave W,South,Culford Rd,East,00932,05,None,Standard,Existing,B1200932,,"{'type': 'MultiPoint', 'coordinates': [[-79.4847482080133, 43.706909950899]]}"
476,1705,BE-00187,640,Trethewey Dr,Trethewey Dr,North,Chiswick Ave,East,00940,05,None,Standard,Existing,B1200940,,"{'type': 'MultiPoint', 'coordinates': [[-79.4951882629053, 43.6971470800828]]}"
477,1706,BE-00189,2100,Bloor St W,Bloor St W,North,Clendenan Ave,West,00962,04,None,Standard,Existing,B1300962,,"{'type': 'MultiPoint', 'coordinates': [[-79.4708453821968, 43.6524095629735]]}"
478,1710,BE-00003,311,Dixon Rd,Dixon Rd,South,Wincott Dr,West,00066,01,None,Standard,Existing,B0400066,,"{'type': 'MultiPoint', 'coordinates': [[-79.5541694978339, 43.6951988079683]]}"
479,1711,BE-00005,10,Markbrook Lane,Kipling Ave,South,Steeles Ave W,East,03395,01,None,Standard,Temporarily Removed,B0103395,,"{'type': 'MultiPoint', 'coordinates': [[-79.5895378536192, 43.7592476131078]]}"
480,1712,BE-00009,2626,Islington Ave,Islington Ave,West,Albion Rd,South,01740,01,Albion Islington Square,Standard,Existing,B0101740,,"{'type': 'MultiPoint', 'coordinates': [[-79.5651604054784, 43.7365280967862]]}"
481,1713,BE-00011,1875,Martin Grove Rd,Martin Grove Rd,East,Garfella Dr,South,00087,01,None,Standard,Existing,B0100087,,"{'type': 'MultiPoint', 'coordinates': [[-79.5950801023313, 43.7441689795101]]}"
482,1714,BE-00042,1244,Kipling Ave,Kipling Ave,West,Thorncrest Rd,South,00180,02,None,Standard,Existing,B0300180,,"{'type': 'MultiPoint', 'coordinates': [[-79.543889403359, 43.6610200666369]]}"
483,1715,BE-00604,374,Oakwood Ave,Oakwood Ave,West,Rogers Rd,North,05047,12,Oakwood Village,Mini,Existing,B1505047,,"{'type': 'MultiPoint', 'coordinates': [[-79.4389221353667, 43.6874592692697]]}"
484,1716,BE-00608,509,Bloor St W,Bloor St W,South,Borden St,East,06196,11,Bloor Annex,Mini,Existing,B2006196,,"{'type': 'MultiPoint', 'coordinates': [[-79.4085093770783, 43.6656296764721]]}"
